snake capacity 252
snakePush, newsize = 13, newhead = 123, newtail = 111
snakePop,  newsize = 12, newhead = 123, newtail = 112
snakePush, newsize = 13, newhead = 124, newtail = 112
snakePop,  newsize = 12, newhead = 124, newtail = 113
snakePush, newsize = 13, newhead = 125, newtail = 113
snakePop,  newsize = 12, newhead = 125, newtail = 114
snakePush, newsize = 13, newhead = 126, newtail = 114
snakePop,  newsize = 12, newhead = 126, newtail = 115
pickup,    newsize = 13, newhead = 126, newtail = 114
snakePush, newsize = 14, newhead = 127, newtail = 114
snakePop,  newsize = 13, newhead = 127, newtail = 115
snakePush, newsize = 14, newhead = 128, newtail = 115
snakePop,  newsize = 13, newhead = 128, newtail = 116
snakePush, newsize = 14, newhead = 129, newtail = 116
snakePop,  newsize = 13, newhead = 129, newtail = 117
snakePush, newsize = 14, newhead = 130, newtail = 117
snakePop,  newsize = 13, newhead = 130, newtail = 118
snakePush, newsize = 14, newhead = 131, newtail = 118
snakePop,  newsize = 13, newhead = 131, newtail = 119
snakePush, newsize = 14, newhead = 132, newtail = 119
snakePop,  newsize = 13, newhead = 132, newtail = 120
snakePush, newsize = 14, newhead = 133, newtail = 120
snakePop,  newsize = 13, newhead = 133, newtail = 121
snakePush, newsize = 14, newhead = 134, newtail = 121
snakePop,  newsize = 13, newhead = 134, newtail = 122
snakePush, newsize = 14, newhead = 135, newtail = 122
snakePop,  newsize = 13, newhead = 135, newtail = 123
snakePush, newsize = 14, newhead = 136, newtail = 123
snakePop,  newsize = 13, newhead = 136, newtail = 124
pickup,    newsize = 14, newhead = 136, newtail = 123
snakePush, newsize = 15, newhead = 137, newtail = 123
snakePop,  newsize = 14, newhead = 137, newtail = 124
snakePush, newsize = 15, newhead = 138, newtail = 124
snakePop,  newsize = 14, newhead = 138, newtail = 125
snakePush, newsize = 15, newhead = 139, newtail = 125
snakePop,  newsize = 14, newhead = 139, newtail = 126
snakePush, newsize = 15, newhead = 140, newtail = 126
snakePop,  newsize = 14, newhead = 140, newtail = 127
snakePush, newsize = 15, newhead = 141, newtail = 127
snakePop,  newsize = 14, newhead = 141, newtail = 128
snakePush, newsize = 15, newhead = 142, newtail = 128
snakePop,  newsize = 14, newhead = 142, newtail = 129
snakePush, newsize = 15, newhead = 143, newtail = 129
snakePop,  newsize = 14, newhead = 143, newtail = 130
snakePush, newsize = 15, newhead = 144, newtail = 130
snakePop,  newsize = 14, newhead = 144, newtail = 131
snakePush, newsize = 15, newhead = 145, newtail = 131
snakePop,  newsize = 14, newhead = 145, newtail = 132
snakePush, newsize = 15, newhead = 146, newtail = 132
snakePop,  newsize = 14, newhead = 146, newtail = 133
snakePush, newsize = 15, newhead = 147, newtail = 133
snakePop,  newsize = 14, newhead = 147, newtail = 134
snakePush, newsize = 15, newhead = 148, newtail = 134
snakePop,  newsize = 14, newhead = 148, newtail = 135
snakePush, newsize = 15, newhead = 149, newtail = 135
snakePop,  newsize = 14, newhead = 149, newtail = 136
snakePush, newsize = 15, newhead = 150, newtail = 136
snakePop,  newsize = 14, newhead = 150, newtail = 137
snakePush, newsize = 15, newhead = 151, newtail = 137
snakePop,  newsize = 14, newhead = 151, newtail = 138
snakePush, newsize = 15, newhead = 152, newtail = 138
snakePop,  newsize = 14, newhead = 152, newtail = 139
snakePush, newsize = 15, newhead = 153, newtail = 139
snakePop,  newsize = 14, newhead = 153, newtail = 140
snakePush, newsize = 15, newhead = 154, newtail = 140
snakePop,  newsize = 14, newhead = 154, newtail = 141
snakePush, newsize = 15, newhead = 155, newtail = 141
snakePop,  newsize = 14, newhead = 155, newtail = 142
snakePush, newsize = 15, newhead = 156, newtail = 142
snakePop,  newsize = 14, newhead = 156, newtail = 143
snakePush, newsize = 15, newhead = 157, newtail = 143
snakePop,  newsize = 14, newhead = 157, newtail = 144
snakePush, newsize = 15, newhead = 158, newtail = 144
snakePop,  newsize = 14, newhead = 158, newtail = 145
snakePush, newsize = 15, newhead = 159, newtail = 145
snakePop,  newsize = 14, newhead = 159, newtail = 146
snakePush, newsize = 15, newhead = 160, newtail = 146
snakePop,  newsize = 14, newhead = 160, newtail = 147
snakePush, newsize = 15, newhead = 161, newtail = 147
snakePop,  newsize = 14, newhead = 161, newtail = 148
pickup,    newsize = 15, newhead = 161, newtail = 147
snakePush, newsize = 16, newhead = 162, newtail = 147
snakePop,  newsize = 15, newhead = 162, newtail = 148
snakePush, newsize = 16, newhead = 163, newtail = 148
snakePop,  newsize = 15, newhead = 163, newtail = 149
snakePush, newsize = 16, newhead = 164, newtail = 149
snakePop,  newsize = 15, newhead = 164, newtail = 150
snakePush, newsize = 16, newhead = 165, newtail = 150
snakePop,  newsize = 15, newhead = 165, newtail = 151
snakePush, newsize = 16, newhead = 166, newtail = 151
snakePop,  newsize = 15, newhead = 166, newtail = 152
snakePush, newsize = 16, newhead = 167, newtail = 152
snakePop,  newsize = 15, newhead = 167, newtail = 153
pickup,    newsize = 16, newhead = 167, newtail = 152
snakePush, newsize = 17, newhead = 168, newtail = 152
snakePop,  newsize = 16, newhead = 168, newtail = 153
snakePush, newsize = 17, newhead = 169, newtail = 153
snakePop,  newsize = 16, newhead = 169, newtail = 154
snakePush, newsize = 17, newhead = 170, newtail = 154
snakePop,  newsize = 16, newhead = 170, newtail = 155
snakePush, newsize = 17, newhead = 171, newtail = 155
snakePop,  newsize = 16, newhead = 171, newtail = 156
snakePush, newsize = 17, newhead = 172, newtail = 156
snakePop,  newsize = 16, newhead = 172, newtail = 157
snakePush, newsize = 17, newhead = 173, newtail = 157
snakePop,  newsize = 16, newhead = 173, newtail = 158
snakePush, newsize = 17, newhead = 174, newtail = 158
snakePop,  newsize = 16, newhead = 174, newtail = 159
snakePush, newsize = 17, newhead = 175, newtail = 159
snakePop,  newsize = 16, newhead = 175, newtail = 160
snakePush, newsize = 17, newhead = 176, newtail = 160
snakePop,  newsize = 16, newhead = 176, newtail = 161
snakePush, newsize = 17, newhead = 177, newtail = 161
snakePop,  newsize = 16, newhead = 177, newtail = 162
snakePush, newsize = 17, newhead = 178, newtail = 162
snakePop,  newsize = 16, newhead = 178, newtail = 163
snakePush, newsize = 17, newhead = 179, newtail = 163
snakePop,  newsize = 16, newhead = 179, newtail = 164
snakePush, newsize = 17, newhead = 180, newtail = 164
snakePop,  newsize = 16, newhead = 180, newtail = 165
snakePush, newsize = 17, newhead = 181, newtail = 165
snakePop,  newsize = 16, newhead = 181, newtail = 166
snakePush, newsize = 17, newhead = 182, newtail = 166
snakePop,  newsize = 16, newhead = 182, newtail = 167
snakePush, newsize = 17, newhead = 183, newtail = 167
snakePop,  newsize = 16, newhead = 183, newtail = 168
snakePush, newsize = 17, newhead = 184, newtail = 168
snakePop,  newsize = 16, newhead = 184, newtail = 169
snakePush, newsize = 17, newhead = 185, newtail = 169
snakePop,  newsize = 16, newhead = 185, newtail = 170
snakePush, newsize = 17, newhead = 186, newtail = 170
snakePop,  newsize = 16, newhead = 186, newtail = 171
snakePush, newsize = 17, newhead = 187, newtail = 171
snakePop,  newsize = 16, newhead = 187, newtail = 172
pickup,    newsize = 17, newhead = 187, newtail = 171
snakePush, newsize = 18, newhead = 188, newtail = 171
snakePop,  newsize = 17, newhead = 188, newtail = 172
snakePush, newsize = 18, newhead = 189, newtail = 172
snakePop,  newsize = 17, newhead = 189, newtail = 173
snakePush, newsize = 18, newhead = 190, newtail = 173
snakePop,  newsize = 17, newhead = 190, newtail = 174
snakePush, newsize = 18, newhead = 191, newtail = 174
snakePop,  newsize = 17, newhead = 191, newtail = 175
snakePush, newsize = 18, newhead = 192, newtail = 175
snakePop,  newsize = 17, newhead = 192, newtail = 176
pickup,    newsize = 18, newhead = 192, newtail = 175
snakePush, newsize = 19, newhead = 193, newtail = 175
snakePop,  newsize = 18, newhead = 193, newtail = 176
snakePush, newsize = 19, newhead = 194, newtail = 176
snakePop,  newsize = 18, newhead = 194, newtail = 177
snakePush, newsize = 19, newhead = 195, newtail = 177
snakePop,  newsize = 18, newhead = 195, newtail = 178
snakePush, newsize = 19, newhead = 196, newtail = 178
snakePop,  newsize = 18, newhead = 196, newtail = 179
snakePush, newsize = 19, newhead = 197, newtail = 179
snakePop,  newsize = 18, newhead = 197, newtail = 180
snakePush, newsize = 19, newhead = 198, newtail = 180
snakePop,  newsize = 18, newhead = 198, newtail = 181
snakePush, newsize = 19, newhead = 199, newtail = 181
snakePop,  newsize = 18, newhead = 199, newtail = 182
snakePush, newsize = 19, newhead = 200, newtail = 182
snakePop,  newsize = 18, newhead = 200, newtail = 183
snakePush, newsize = 19, newhead = 201, newtail = 183
snakePop,  newsize = 18, newhead = 201, newtail = 184
snakePush, newsize = 19, newhead = 202, newtail = 184
snakePop,  newsize = 18, newhead = 202, newtail = 185
snakePush, newsize = 19, newhead = 203, newtail = 185
snakePop,  newsize = 18, newhead = 203, newtail = 186
snakePush, newsize = 19, newhead = 204, newtail = 186
snakePop,  newsize = 18, newhead = 204, newtail = 187
snakePush, newsize = 19, newhead = 205, newtail = 187
snakePop,  newsize = 18, newhead = 205, newtail = 188
snakePush, newsize = 19, newhead = 206, newtail = 188
snakePop,  newsize = 18, newhead = 206, newtail = 189
snakePush, newsize = 19, newhead = 207, newtail = 189
snakePop,  newsize = 18, newhead = 207, newtail = 190
snakePush, newsize = 19, newhead = 208, newtail = 190
snakePop,  newsize = 18, newhead = 208, newtail = 191
pickup,    newsize = 19, newhead = 208, newtail = 190
snakePush, newsize = 20, newhead = 209, newtail = 190
snakePop,  newsize = 19, newhead = 209, newtail = 191
snakePush, newsize = 20, newhead = 210, newtail = 191
snakePop,  newsize = 19, newhead = 210, newtail = 192
snakePush, newsize = 20, newhead = 211, newtail = 192
snakePop,  newsize = 19, newhead = 211, newtail = 193
snakePush, newsize = 20, newhead = 212, newtail = 193
snakePop,  newsize = 19, newhead = 212, newtail = 194
snakePush, newsize = 20, newhead = 213, newtail = 194
snakePop,  newsize = 19, newhead = 213, newtail = 195
snakePush, newsize = 20, newhead = 214, newtail = 195
snakePop,  newsize = 19, newhead = 214, newtail = 196
snakePush, newsize = 20, newhead = 215, newtail = 196
snakePop,  newsize = 19, newhead = 215, newtail = 197
snakePush, newsize = 20, newhead = 216, newtail = 197
snakePop,  newsize = 19, newhead = 216, newtail = 198
snake capacity 252
snakePush, newsize = 6, newhead = 5, newtail = 0
snakePop,  newsize = 5, newhead = 5, newtail = 1
snakePush, newsize = 6, newhead = 6, newtail = 1
snakePop,  newsize = 5, newhead = 6, newtail = 2
snakePush, newsize = 6, newhead = 7, newtail = 2
snakePop,  newsize = 5, newhead = 7, newtail = 3
snakePush, newsize = 6, newhead = 8, newtail = 3
snakePop,  newsize = 5, newhead = 8, newtail = 4
snakePush, newsize = 6, newhead = 9, newtail = 4
snakePop,  newsize = 5, newhead = 9, newtail = 5
snakePush, newsize = 6, newhead = 10, newtail = 5
snakePop,  newsize = 5, newhead = 10, newtail = 6
snakePush, newsize = 6, newhead = 11, newtail = 6
snakePop,  newsize = 5, newhead = 11, newtail = 7
snakePush, newsize = 6, newhead = 12, newtail = 7
snakePop,  newsize = 5, newhead = 12, newtail = 8
snakePush, newsize = 6, newhead = 13, newtail = 8
snakePop,  newsize = 5, newhead = 13, newtail = 9
snakePush, newsize = 6, newhead = 14, newtail = 9
snakePop,  newsize = 5, newhead = 14, newtail = 10
snakePush, newsize = 6, newhead = 15, newtail = 10
snakePop,  newsize = 5, newhead = 15, newtail = 11
snakePush, newsize = 6, newhead = 16, newtail = 11
snakePop,  newsize = 5, newhead = 16, newtail = 12
snakePush, newsize = 6, newhead = 17, newtail = 12
snakePop,  newsize = 5, newhead = 17, newtail = 13
snakePush, newsize = 6, newhead = 18, newtail = 13
snakePop,  newsize = 5, newhead = 18, newtail = 14
snakePush, newsize = 6, newhead = 19, newtail = 14
snakePop,  newsize = 5, newhead = 19, newtail = 15
snakePush, newsize = 6, newhead = 20, newtail = 15
snakePop,  newsize = 5, newhead = 20, newtail = 16
snakePush, newsize = 6, newhead = 21, newtail = 16
snakePop,  newsize = 5, newhead = 21, newtail = 17
snakePush, newsize = 6, newhead = 22, newtail = 17
snakePop,  newsize = 5, newhead = 22, newtail = 18
pickup,    newsize = 6, newhead = 22, newtail = 17
